SampleN,Mn_S,Cu_S,Fe_S,Zn_S,Mg_S,K_S,Ca_S,Mo_S,SumTS
A5_2_5,342.2449908,23.73380459,18985.95871,30.7803198,6994.22329,2028.100749,28175.15762,0.381864787,13.8006457
A5_2_6,403.516954,25.74557539,22466.85426,40.07610372,8501.236205,2637.321718,32534.39993,0.535098107,15.9131394
A5_2_7,236.032948,16.145652,13322.68123,23.84096404,4713.048472,1273.621695,19264.3138,0.792050672,9.52888762
A5_2_8,245.0129299,15.84016751,13507.97737,24.61516897,4883.12011,1351.490875,20255.88792,0.468755798,12.3230494
A5_2_9,287.0918244,17.5516891,16082.28383,30.26979514,5864.412456,1527.086597,24254.95944,0.391806004,10.2371666
A5_2_10,206.5384518,14.56678813,11835.17317,20.97830498,3957.89638,1040.336823,17821.42962,0.263965784,10.5598095
A5_2_11,213.6028116,12.31985822,12003.93702,22.52178963,4042.121927,1111.538332,17654.53963,0.259290108,2.64643363
A5_2_12,253.2415781,16.27134542,13842.55805,29.39150842,4739.758607,1383.861227,20337.09024,0.281164655,12.8053526
A5_2_13,220.5399815,14.52099529,12268.06996,33.23996648,4122.78361,1142.678875,18147.8855,0.248265295,9.17975548
A5_2_14,259.4595734,14.81024157,14250.98652,28.35206664,4801.134901,1425.602668,20568.87719,0.277093701,15.323941
A5_2_15,221.6060283,14.64029301,12428.54832,28.79316514,4222.430184,1216.916321,18455.74305,0.253282708,14.6181507
A5_2_16,277.3361423,17.74914855,15485.90167,40.37451764,5097.299875,1505.057785,21844.2886,0.289965526,11.4306093
A5_3_4,292.8516379,19.44661981,16548.78009,34.68890661,5813.516334,1645.619895,24271.35826,0.29664733,13.1229181
A5_3_5,307.3402352,18.6642466,16981.32184,47.29279102,5845.821207,1616.787912,25256.42507,0.300789459,5.89808975
A5_3_6,237.5619546,15.22114489,13145.983,34.63192239,4580.425098,1239.600534,20233.97835,0.231172095,8.17340101
A5_3_7,246.6524812,19.02401325,13763.24166,41.46511024,4758.913338,1333.833173,21237.23781,0.24735284,11.2357642
A5_3_8,228.6891644,17.40140155,12486.96275,39.16052057,4407.864605,1187.83832,19392.90878,0.395531818,6.71893528
A5_3_9,228.5472898,16.34416877,12746.90529,30.3821689,4483.417416,1190.045486,19621.93429,0.237474523,14.8336788
A5_3_10,314.9883053,17.69477075,17623.61783,35.27302393,6353.199643,1703.346334,26425.84142,0.319976812,7.89675979
A5_3_11,277.8085884,19.70110446,15609.11031,34.20664313,5382.661197,1506.551448,23563.59454,0.28137616,9.28840264
A5_3_12,295.2816895,22.38012872,16485.03584,48.10757195,5576.227703,1554.550864,25202.00276,0.325065185,11.5495939
A5_3_13,251.4471334,20.5718152,14204.69803,30.79902783,4775.632212,1312.896718,21789.89094,0.269692751,11.0298568
A5_3_14,311.642984,23.10068938,17462.86432,56.20136533,6040.940234,1649.625231,26725.35551,0.366145483,13.2416985
A5_3_15,297.9224709,22.94662969,16682.65346,44.47124031,5761.461523,1512.851856,25461.67446,0.386732936,10.8381637
B2_2_8,468.0,20.131,25910.5,58.42,7125.0,3074.0,4905.5,0.7195,0.86013661
B2_2_9,442.0,17.657,25208.0,64.973,7031.0,3851.5,4948.0,0.614,2.53586201
B2_2_10,492.0,17.948,26450.5,62.605,7660.0,3817.5,5542.5,0.6235,0.81259666
B2_2_11,485.0,18.6165,28877.0,62.494,7253.5,3687.0,5315.5,0.615,1.20238711
B2_2_12,479.5,16.608,29583.5,55.559,7344.0,3368.5,5276.0,0.579,2.93275107
B2_2_13,568.0,17.323,31296.0,59.2315,8462.5,3910.5,6136.0,2.8235,2.57547244
