SampleN,DI,GDD0,GDD5,GP,MI,MTCO,MTWA,Tmax,Tmin,SumTS
B2_3_10,0.423815012,4716.399902,3344.100098,829.4000244,0.455303997,-3.299999952,26.10000038,42.29000092,-20.62000084,1.21997383
B2_3_11,0.423815012,4716.399902,3344.100098,829.4000244,0.455303997,-3.299999952,26.10000038,42.29000092,-20.62000084,2.06810664
B2_3_12,0.423815012,4716.399902,3344.100098,829.4000244,0.455303997,-3.299999952,26.10000038,42.29000092,-20.62000084,1.6341739
B2_3_13,0.423815012,4716.399902,3344.100098,829.4000244,0.455303997,-3.299999952,26.10000038,42.29000092,-20.62000084,1.27781695
B2_3_14,0.423815012,4716.399902,3344.100098,829.4000244,0.455303997,-3.299999952,26.10000038,42.29000092,-20.62000084,3.52892555
B3_1_5,0.459454,4829.899902,3451.699951,845.2000122,0.426030993,-3.299999952,26.79999924,41.77999878,-21.29999924,0.84982267
B3_1_6,0.459454,4829.899902,3451.699951,845.2000122,0.426030993,-3.299999952,26.79999924,41.77999878,-21.29999924,1.0154581
B3_1_7,0.459454,4829.899902,3451.699951,845.2000122,0.426030993,-3.299999952,26.79999924,41.77999878,-21.29999924,1.14023282
B3_1_8,0.459454,4829.899902,3451.699951,845.2000122,0.426030993,-3.299999952,26.79999924,41.77999878,-21.29999924,0.94787888
B3_1_9,0.459454,4829.899902,3451.699951,845.2000122,0.426030993,-3.299999952,26.79999924,41.77999878,-21.29999924,1.49296155
B3_1_10,0.459454,4829.899902,3451.699951,845.2000122,0.426030993,-3.299999952,26.79999924,41.77999878,-21.29999924,1.58529708
B3_1_11,0.459454,4829.899902,3451.699951,845.2000122,0.426030993,-3.299999952,26.79999924,41.77999878,-21.29999924,1.98900487
B3_1_12,0.459454,4829.899902,3451.699951,845.2000122,0.426030993,-3.299999952,26.79999924,41.77999878,-21.29999924,1.93724039
B3_1_13,0.459454,4829.899902,3451.699951,845.2000122,0.426030993,-3.299999952,26.79999924,41.77999878,-21.29999924,1.1756118
B3_1_14,0.459454,4829.899902,3451.699951,845.2000122,0.426030993,-3.299999952,26.79999924,41.77999878,-21.29999924,1.96029139
B3_2_5,0.460069001,4831.0,3452.199951,846.0999756,0.425594002,-3.299999952,26.79999924,41.77999878,-21.36000061,3.0177288
B3_2_6,0.460069001,4831.0,3452.199951,846.0999756,0.425594002,-3.299999952,26.79999924,41.77999878,-21.36000061,4.36629786
B3_2_7,0.460069001,4831.0,3452.199951,846.0999756,0.425594002,-3.299999952,26.79999924,41.77999878,-21.36000061,3.06934659
B3_2_8,0.460069001,4831.0,3452.199951,846.0999756,0.425594002,-3.299999952,26.79999924,41.77999878,-21.36000061,4.43310655
B3_2_9,0.460069001,4831.0,3452.199951,846.0999756,0.425594002,-3.299999952,26.79999924,41.77999878,-21.36000061,5.54839835
